frame_id,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,distance_m,azimuth_deg,point_count,score,source
000000,0,15.6915,5.131,-0.1585,6.924999,23.431999,2.381,16.509859,18.107346,7013,1.0,dbscan
000000,1,21.2285,1.289,-0.045,2.212999,0.57,1.932,21.267647,3.474748,27,0.225,dbscan
000000,2,18.474501,21.9655,0.009,8.341001,5.966999,2.59,28.70175,49.933846,716,1.0,dbscan
000000,3,4.563,15.0445,-0.269,9.12,7.347,2.16,15.723559,73.127434,3053,1.0,dbscan
000000,4,1.785,5.7565,-0.425,3.568,6.267,1.848,6.041866,72.772156,3938,1.0,dbscan
000000,5,1.89,10.559999,0.1715,1.158,1.585999,0.849,10.729171,79.852791,138,1.0,dbscan
000000,6,3.8725,-9.0265,-0.4055,7.745,8.447001,1.887,9.830482,-66.779961,5812,1.0,dbscan
000000,7,2.588,-13.281,-0.179,1.704,3.2,1.666,13.53199,-78.973244,271,1.0,dbscan
000000,8,21.034,-20.950001,-0.0425,2.375999,0.309999,2.563,29.687262,-44.885365,99,0.825,dbscan
000000,9,11.675,-6.702,-0.294,4.427999,7.996,2.11,13.465098,-29.857849,4043,1.0,dbscan
000000,10,18.48,-15.8945,-0.1445,0.534,2.691,2.407,24.375528,-40.698559,158,1.0,dbscan
000000,11,4.179,19.194,-0.2845,1.626,2.16,2.123,19.645727,77.717003,26,0.216667,dbscan
000000,12,0.4455,-14.469,-0.0285,0.721,0.892,1.279,14.475884,-88.236412,29,0.241667,dbscan
000000,14,8.1775,-8.441,-0.312,1.115,1.102,1.11,11.756672,-45.908394,172,1.0,dbscan
000000,15,8.814,-1.7995,-0.5565,0.836,0.875,1.583,9.013018,-11.539142,345,1.0,dbscan
000000,16,4.712,6.0075,-0.625,0.536,0.455,1.448,7.660524,51.891029,359,1.0,dbscan
000000,17,20.803001,15.313499,-0.939,0.379999,0.529,0.65,25.848595,36.357513,33,0.275,dbscan
000000,18,11.371,4.4105,-0.888,2.462,2.663,0.92,12.228683,21.199911,446,1.0,dbscan
000000,21,2.929,-4.452,-0.725,5.858,2.83,1.248,5.378194,-56.658817,7189,1.0,dbscan
000000,22,1.1685,-1.3825,-0.5735,0.689,0.847,0.497,1.898842,-49.795235,456,1.0,dbscan
000000,23,0.953,1.3185,-0.512,0.862,0.561,0.384,1.705519,54.140934,508,1.0,dbscan
