perturbation_type,perturbation_value,class_name,tp,fp,fn,precision,recall
deployment_precision,openpcdet_original,Car,579,2000,158,0.22450562233423807,0.7856173677069199
deployment_precision,openpcdet_original,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
deployment_precision,openpcdet_original,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
deployment_precision,trt_backbone_head_only,Car,579,2000,158,0.22450562233423807,0.7856173677069199
deployment_precision,trt_backbone_head_only,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
deployment_precision,trt_backbone_head_only,Cyclist,35,735,19,0.045454545454545456,0.6481481481481481
deployment_precision,wrapper_pytorch,Car,579,2001,158,0.22441860465116278,0.7856173677069199
deployment_precision,wrapper_pytorch,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
deployment_precision,wrapper_pytorch,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
point_dropout,0.00,Car,579,2001,158,0.22441860465116278,0.7856173677069199
point_dropout,0.00,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
point_dropout,0.00,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
point_dropout,0.05,Car,567,1978,170,0.22278978388998036,0.7693351424694709
point_dropout,0.05,Pedestrian,69,2520,33,0.026651216685979143,0.6764705882352942
point_dropout,0.05,Cyclist,32,695,22,0.04401650618982118,0.5925925925925926
point_dropout,0.10,Car,565,1973,172,0.22261623325453112,0.7666214382632293
point_dropout,0.10,Pedestrian,69,2455,33,0.02733755942947702,0.6764705882352942
point_dropout,0.10,Cyclist,31,683,23,0.04341736694677871,0.5740740740740741
point_dropout,0.15,Car,565,1952,172,0.2244735796583234,0.7666214382632293
point_dropout,0.15,Pedestrian,70,2450,32,0.027777777777777776,0.6862745098039216
point_dropout,0.15,Cyclist,33,655,21,0.04796511627906977,0.6111111111111112
point_dropout,0.20,Car,560,1948,177,0.22328548644338117,0.7598371777476255
point_dropout,0.20,Pedestrian,73,2345,29,0.030190239867659223,0.7156862745098039
point_dropout,0.20,Cyclist,29,606,25,0.04566929133858268,0.5370370370370371
point_dropout,0.30,Car,557,1876,180,0.22893547061241265,0.7557666214382632
point_dropout,0.30,Pedestrian,72,2237,30,0.031182330012992636,0.7058823529411765
point_dropout,0.30,Cyclist,24,589,30,0.03915171288743882,0.4444444444444444
point_dropout,0.40,Car,531,1833,206,0.22461928934010153,0.7204884667571235
point_dropout,0.40,Pedestrian,64,2079,38,0.029864675688287448,0.6274509803921569
point_dropout,0.40,Cyclist,21,523,33,0.03860294117647059,0.3888888888888889
point_dropout,0.50,Car,503,1783,234,0.22003499562554682,0.6824966078697422
point_dropout,0.50,Pedestrian,66,1905,36,0.0334855403348554,0.6470588235294118
point_dropout,0.50,Cyclist,20,459,34,0.04175365344467641,0.37037037037037035
point_dropout,0.60,Car,483,1679,254,0.22340425531914893,0.655359565807327
point_dropout,0.60,Pedestrian,56,1715,46,0.03162055335968379,0.5490196078431373
point_dropout,0.60,Cyclist,16,399,38,0.03855421686746988,0.2962962962962963
point_dropout,0.70,Car,455,1566,282,0.22513607125185553,0.6173677069199457
point_dropout,0.70,Pedestrian,52,1520,50,0.03307888040712468,0.5098039215686274
point_dropout,0.70,Cyclist,13,353,41,0.03551912568306011,0.24074074074074073
point_dropout,0.80,Car,428,1336,309,0.24263038548752835,0.5807327001356852
point_dropout,0.80,Pedestrian,46,1206,56,0.036741214057507986,0.45098039215686275
point_dropout,0.80,Cyclist,10,332,44,0.029239766081871343,0.18518518518518517
postprocess_score_threshold,0.00,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.00,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.00,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.02,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.02,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.02,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.04,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.04,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.04,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.06,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.06,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.06,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.08,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.08,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.08,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.10,Car,579,2000,158,0.22450562233423807,0.7856173677069199
postprocess_score_threshold,0.10,Pedestrian,67,2593,35,0.02518796992481203,0.6568627450980392
postprocess_score_threshold,0.10,Cyclist,35,736,19,0.04539559014267185,0.6481481481481481
postprocess_score_threshold,0.12,Car,579,1630,158,0.2621095518334088,0.7856173677069199
postprocess_score_threshold,0.12,Pedestrian,67,1957,35,0.033102766798418976,0.6568627450980392
postprocess_score_threshold,0.12,Cyclist,35,581,19,0.056818181818181816,0.6481481481481481
postprocess_score_threshold,0.15,Car,576,1277,161,0.31084727468969237,0.7815468113975577
postprocess_score_threshold,0.15,Pedestrian,67,1376,35,0.04643104643104643,0.6568627450980392
postprocess_score_threshold,0.15,Cyclist,35,431,19,0.07510729613733906,0.6481481481481481
postprocess_score_threshold,0.20,Car,575,927,162,0.3828229027962716,0.7801899592944369
postprocess_score_threshold,0.20,Pedestrian,66,774,36,0.07857142857142857,0.6470588235294118
postprocess_score_threshold,0.20,Cyclist,34,286,20,0.10625,0.6296296296296297
postprocess_score_threshold,0.30,Car,565,650,172,0.46502057613168724,0.7666214382632293
