perturbation_type,perturbation_value,range_bin,tp,fp,fn,precision,recall
deployment_precision,openpcdet_original,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
deployment_precision,openpcdet_original,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
deployment_precision,openpcdet_original,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
deployment_precision,openpcdet_original,60m+,6,171,24,0.03389830508474576,0.2
deployment_precision,trt_backbone_head_only,0-20m,302,2135,36,0.12392285597045548,0.893491124260355
deployment_precision,trt_backbone_head_only,20-40m,275,2020,82,0.11982570806100218,0.7703081232492998
deployment_precision,trt_backbone_head_only,40-60m,98,1000,70,0.08925318761384335,0.5833333333333334
deployment_precision,trt_backbone_head_only,60m+,6,173,24,0.0335195530726257,0.2
deployment_precision,wrapper_pytorch,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
deployment_precision,wrapper_pytorch,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
deployment_precision,wrapper_pytorch,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
deployment_precision,wrapper_pytorch,60m+,6,171,24,0.03389830508474576,0.2
point_dropout,0.00,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
point_dropout,0.00,20-40m,275,2023,82,0.11966927763272411,0.7703081232492998
point_dropout,0.00,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
point_dropout,0.00,60m+,6,171,24,0.03389830508474576,0.2
point_dropout,0.05,0-20m,304,2064,34,0.12837837837837837,0.8994082840236687
point_dropout,0.05,20-40m,270,1984,87,0.11978704525288376,0.7563025210084033
point_dropout,0.05,40-60m,89,977,79,0.08348968105065666,0.5297619047619048
point_dropout,0.05,60m+,5,168,25,0.028901734104046242,0.16666666666666666
point_dropout,0.10,0-20m,303,2042,35,0.12921108742004264,0.8964497041420119
point_dropout,0.10,20-40m,266,1934,91,0.12090909090909091,0.7450980392156863
point_dropout,0.10,40-60m,91,972,77,0.08560677328316087,0.5416666666666666
point_dropout,0.10,60m+,5,163,25,0.02976190476190476,0.16666666666666666
point_dropout,0.15,0-20m,301,2028,37,0.1292400171747531,0.8905325443786982
point_dropout,0.15,20-40m,270,1935,87,0.12244897959183673,0.7563025210084033
point_dropout,0.15,40-60m,91,942,77,0.08809293320425944,0.5416666666666666
point_dropout,0.15,60m+,6,152,24,0.0379746835443038,0.2
point_dropout,0.20,0-20m,302,1933,36,0.13512304250559284,0.893491124260355
point_dropout,0.20,20-40m,267,1858,90,0.12564705882352942,0.7478991596638656
point_dropout,0.20,40-60m,88,944,80,0.08527131782945736,0.5238095238095238
point_dropout,0.20,60m+,5,164,25,0.029585798816568046,0.16666666666666666
point_dropout,0.30,0-20m,303,1848,35,0.14086471408647142,0.8964497041420119
point_dropout,0.30,20-40m,265,1792,92,0.12882839086047643,0.742296918767507
point_dropout,0.30,40-60m,78,911,90,0.0788675429726997,0.4642857142857143
point_dropout,0.30,60m+,7,151,23,0.04430379746835443,0.23333333333333334
point_dropout,0.40,0-20m,290,1726,48,0.14384920634920634,0.8579881656804734
point_dropout,0.40,20-40m,252,1694,105,0.12949640287769784,0.7058823529411765
point_dropout,0.40,40-60m,70,868,98,0.07462686567164178,0.4166666666666667
point_dropout,0.40,60m+,4,147,26,0.026490066225165563,0.13333333333333333
point_dropout,0.50,0-20m,290,1643,48,0.15002586652871186,0.8579881656804734
point_dropout,0.50,20-40m,238,1579,119,0.1309851403412218,0.6666666666666666
point_dropout,0.50,40-60m,56,790,112,0.06619385342789598,0.3333333333333333
point_dropout,0.50,60m+,5,135,25,0.03571428571428571,0.16666666666666666
point_dropout,0.60,0-20m,280,1475,58,0.15954415954415954,0.8284023668639053
point_dropout,0.60,20-40m,219,1483,138,0.12867215041128086,0.6134453781512605
point_dropout,0.60,40-60m,53,706,115,0.06982872200263504,0.31547619047619047
point_dropout,0.60,60m+,3,129,27,0.022727272727272728,0.1
point_dropout,0.70,0-20m,272,1386,66,0.1640530759951749,0.8047337278106509
point_dropout,0.70,20-40m,208,1260,149,0.14168937329700274,0.5826330532212886
point_dropout,0.70,40-60m,38,660,130,0.054441260744985676,0.2261904761904762
point_dropout,0.70,60m+,2,133,28,0.014814814814814815,0.06666666666666667
point_dropout,0.80,0-20m,261,1180,77,0.18112421929215822,0.772189349112426
point_dropout,0.80,20-40m,182,1038,175,0.14918032786885246,0.5098039215686274
point_dropout,0.80,40-60m,40,553,128,0.06745362563237774,0.23809523809523808
point_dropout,0.80,60m+,1,103,29,0.009615384615384616,0.03333333333333333
postprocess_score_threshold,0.00,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.00,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.00,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.00,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.02,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.02,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.02,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.02,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.04,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.04,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.04,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.04,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.06,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.06,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.06,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.06,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.08,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.08,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.08,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.08,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.10,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,0.10,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,0.10,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,0.10,60m+,6,171,24,0.03389830508474576,0.2
postprocess_score_threshold,0.12,0-20m,302,1669,36,0.15322171486555047,0.893491124260355
postprocess_score_threshold,0.12,20-40m,275,1618,82,0.14527205493924986,0.7703081232492998
postprocess_score_threshold,0.12,40-60m,98,762,70,0.11395348837209303,0.5833333333333334
postprocess_score_threshold,0.12,60m+,6,119,24,0.048,0.2
postprocess_score_threshold,0.15,0-20m,302,1212,36,0.19947159841479525,0.893491124260355
postprocess_score_threshold,0.15,20-40m,274,1230,83,0.18218085106382978,0.7675070028011205
postprocess_score_threshold,0.15,40-60m,97,560,71,0.1476407914764079,0.5773809523809523
postprocess_score_threshold,0.15,60m+,5,82,25,0.05747126436781609,0.16666666666666666
postprocess_score_threshold,0.20,0-20m,301,742,37,0.28859060402684567,0.8905325443786982
postprocess_score_threshold,0.20,20-40m,273,832,84,0.24705882352941178,0.7647058823529411
postprocess_score_threshold,0.20,40-60m,96,369,72,0.2064516129032258,0.5714285714285714
postprocess_score_threshold,0.20,60m+,5,44,25,0.10204081632653061,0.16666666666666666
postprocess_score_threshold,0.30,0-20m,300,429,38,0.411522633744856,0.8875739644970414
postprocess_score_threshold,0.30,20-40m,266,471,91,0.36092265943012214,0.7450980392156863
postprocess_score_threshold,0.30,40-60m,93,199,75,0.3184931506849315,0.5535714285714286
postprocess_score_threshold,0.30,60m+,4,29,26,0.12121212121212122,0.13333333333333333
postprocess_score_threshold,0.40,0-20m,295,286,43,0.5077452667814114,0.8727810650887574
postprocess_score_threshold,0.40,20-40m,257,301,100,0.460573476702509,0.7198879551820728
postprocess_score_threshold,0.40,40-60m,87,115,81,0.4306930693069307,0.5178571428571429
postprocess_score_threshold,0.40,60m+,3,8,27,0.2727272727272727,0.1
postprocess_score_threshold,0.60,0-20m,281,169,57,0.6244444444444445,0.8313609467455622
postprocess_score_threshold,0.60,20-40m,234,131,123,0.6410958904109589,0.6554621848739496
postprocess_score_threshold,0.60,40-60m,70,36,98,0.660377358490566,0.4166666666666667
postprocess_score_threshold,0.60,60m+,0,1,30,0.0,0.0
postprocess_score_threshold,default,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
postprocess_score_threshold,default,20-40m,275,2022,82,0.1197213757074445,0.7703081232492998
postprocess_score_threshold,default,40-60m,98,1002,70,0.0890909090909091,0.5833333333333334
postprocess_score_threshold,default,60m+,6,171,24,0.03389830508474576,0.2
range_crop,20,0-20m,297,2252,41,0.11651628089446842,0.878698224852071
range_crop,20,20-40m,10,21,347,0.3225806451612903,0.028011204481792718
range_crop,20,40-60m,0,0,168,0.0,0.0
range_crop,20,60m+,0,0,30,0.0,0.0
range_crop,25,0-20m,303,2132,35,0.124435318275154,0.8964497041420119
range_crop,25,20-40m,90,676,267,0.1174934725848564,0.25210084033613445
range_crop,25,40-60m,0,0,168,0.0,0.0
range_crop,25,60m+,0,0,30,0.0,0.0
range_crop,30,0-20m,302,2134,36,0.12397372742200329,0.893491124260355
range_crop,30,20-40m,166,1243,191,0.11781405251951739,0.4649859943977591
range_crop,30,40-60m,0,0,168,0.0,0.0
range_crop,30,60m+,0,0,30,0.0,0.0
