perturbation_type,perturbation_value,label_free_health_risk,prediction_count_drift,score_distribution_drift,class_distribution_drift,range_distribution_drift,invalid_geometry_rate,empty_prediction_rate,temporal_consistency_error,tracking_association_residual,latency_spike_rate,mean_ap_drop
deployment_precision,openpcdet_original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8355940001274575,,0.0
deployment_precision,trt_backbone_head_only,3.345542477991542e-05,0.00016638935108153079,3.066766303237581e-07,3.395343140025458e-08,8.430670290043954e-07,0.0,0.0,,,,0.019324593822744873
deployment_precision,wrapper_pytorch,3.3280670694766685e-05,0.00016638935108153079,3.968451633923158e-09,6.639701339559401e-09,8.06170343001117e-09,0.0,0.0,,,,0.002344998143541943
point_dropout,0.00,0.0025332806706947673,0.00016638935108153079,3.968451633923158e-09,6.639701339559401e-09,8.06170343001117e-09,0.0,0.0,,,0.05,0.002344998143541943
point_dropout,0.05,0.007468019058983526,0.024792013311148088,2.1775997770870402e-05,3.697396257893652e-05,5.3593513429080115e-06,0.0,0.0,,,0.05,0.27284813158729904
point_dropout,0.10,0.010304410760167422,0.038935108153078206,2.5274841241202826e-05,8.811320400871196e-05,2.5394850952869348e-06,0.0,0.0,,,0.05,1.5026163279979627
point_dropout,0.15,0.012012339794528988,0.04742096505823627,7.824284610246745e-06,0.00014398024409698193,3.584069050431267e-05,0.0,0.0,,,0.05,0.9611448460560474
point_dropout,0.20,0.01752629497667184,0.07470881863560733,3.0443770155395085e-05,0.000516908885590495,1.6189007923251685e-05,0.0,0.0,,,0.05,0.32687658790859686
point_dropout,0.30,0.024395485719892036,0.10898502495840266,4.964625725820441e-05,0.0005971746107718747,9.717320046590536e-06,0.0,0.0,,,0.05,4.8069643645792475
point_dropout,0.40,0.034673121788989826,0.15956738768718803,0.00030426694754284397,0.0013969268489811186,2.9767880490776008e-05,0.0,0.0,,,0.05,8.486214510109555
point_dropout,0.50,0.045328160113914155,0.2119800332778702,0.00026534671477686385,0.002590138373313145,2.553796751068295e-05,0.0,0.0,,,0.05,12.575743473950801
point_dropout,0.60,0.05851966977698853,0.27653910149750416,0.0005375228081457026,0.004081710806185513,0.00012642956892008813,0.0,0.0,,,0.05,15.358376937773432
point_dropout,0.70,0.07167274606418103,0.3412645590682196,0.00027136582213385766,0.005543100792558367,0.0003177617222217379,0.0,0.0,,,0.05,17.471755525141816
point_dropout,0.80,0.09202408120096954,0.44126455906821965,0.0012455995643173927,0.006755551758872063,0.0004733112589812813,0.0,0.0,,,0.05,23.02501434556055
postprocess_score_threshold,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
postprocess_score_threshold,0.12,0.039960712031183086,0.19317803660565724,0.008128632072657157,0.0005534028357313456,0.00015199649195572805,0.0,0.0,,,,0.0
postprocess_score_threshold,0.15,0.08321187149847194,0.3740432612312812,0.05240248600814425,0.0031261864828255152,0.0004927891904682805,0.0,0.0,,,,0.08348973126012993
postprocess_score_threshold,0.20,0.16754344200233703,0.5570715474209651,0.35815736823327404,0.014458864063695846,0.0015779844906567268,0.0,0.0,,,,0.08348973126012993
postprocess_score_threshold,0.30,0.20654637898555736,0.7019966722129783,0.38822107331628036,0.047701256073159705,0.0017246342303046153,0.0,0.005,,,,0.1317205524027827
postprocess_score_threshold,0.40,0.2583027068710292,0.7750415973377703,0.5786216811202435,0.09018820837884198,0.006486026524081852,0.0,0.02,,,,0.2133728569874016
postprocess_score_threshold,0.60,0.30585842775207867,0.8465890183028286,0.6738004764696195,0.17629523208454356,0.020175118722590032,0.0,0.06,,,,2.3030130235706032
postprocess_score_threshold,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
range_crop,20,0.1722606427015949,0.5707154742096506,0.003144013431810224,0.013892225573676056,0.353747413392279,0.0,0.0,,,0.05,16.324492368183535
range_crop,25,0.12158201151358505,0.46738768718802,0.002032743309623903,0.010698131759172468,0.1579656187710773,0.0,0.0,,,0.05,10.01410556490324
range_crop,30,0.09467735939219746,0.36023294509151416,0.001441538653770372,0.008109977203599135,0.12465361996859464,0.0,0.0,,,0.05,6.144622718495018
range_crop,35,0.07351144725661077,0.26306156405990017,0.0008390549223256721,0.005562225806759489,0.11625961556845306,0.0,0.0,,,0.05,2.5991939468159124
range_crop,40,0.04983547211194694,0.17271214642262894,0.0003746640676757342,0.002815853694154734,0.0820964344209772,0.0,0.0,,,0.05,1.4574997185733203
range_crop,45,0.026956432069894898,0.10499168053244592,0.00022012859990017944,0.0013688239888447807,0.02146502050062645,0.0,0.0,,,0.05,0.8173013700531655
range_crop,50,0.0171786883091376,0.0610648918469218,7.164357189660443e-05,0.00053873694663146,0.01582768574649352,0.0,0.0,,,0.05,0.008729273041069519
range_crop,55,0.011724108169470388,0.03477537437603993,3.71430621834794e-05,0.0001802226902522313,0.014909522875980291,0.0,0.0,,,0.05,0.0007522630833847188
range_crop,60,0.007551611812359603,0.019467554076539103,3.0071217290927226e-05,7.229192234070895e-05,0.007618310174046908,0.0,0.0,,,0.05,0.001581574789156548
range_crop,70,0.0026002444601366387,0.0004991680532445924,1.3832451660959988e-08,1.2897544588885999e-08,2.712266588547526e-06,0.0,0.0,,,0.05,0.0024464134204222887
range_crop,full,0.0025332806706947673,0.00016638935108153079,3.968451633923158e-09,6.639701339559401e-09,8.06170343001117e-09,0.0,0.0,,,0.05,0.002344998143541943
